Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,104,C_0603_1608Metric,150.0,-99.275,-90.0,top
C11,470uf 20V,CP_Radial_D10.0mm_P5.00mm_P7.50mm,136.3,-107.027856,-90.0,top
C12,106,C_0805_2012Metric,133.0,-99.47875,-90.0,top
C13,106,C_0805_2012Metric,139.0,-99.5,-90.0,top
C14,104,C_0603_1608Metric,155.0,-96.725,90.0,top
C15,10uf 25V,C_0603_1608Metric,147.275,-99.225,90.0,top
C16,105 X7R,C_0603_1608Metric,151.0,-84.225,-90.0,top
C17,105 X7R,C_0603_1608Metric,153.525,-84.5,180.0,top
C18,105 X7R,C_0603_1608Metric,156.725,-84.5,180.0,top
C19,103,C_0603_1608Metric,121.725,-98.0,0.0,top
C20,103,C_0603_1608Metric,123.725,-100.5,180.0,top
C3,102,C_0603_1608Metric,125.29375,-85.4073,0.0,top
C4,102,C_0603_1608Metric,124.775,-96.5,0.0,top
C5,105,C_0603_1608Metric,131.0,-102.275,90.0,top
C6,104,C_0603_1608Metric,151.5,-107.775,-90.0,top
C7,104,C_0603_1608Metric,150.725,-105.5,0.0,top
C8,104,C_0603_1608Metric,164.225,-78.5,0.0,top
C9,470uf 80V,CP_Elec_10x12.5,161.5,-100.2,90.0,top
C9,470uf 80V,CP_Elec_10x12.5,126.5,-75.0,-90.0,top
D1,5819,D_1206_3216Metric_Pad1.42x1.75mm_HandSolder,145.5,-110.5,180.0,top
L1,47uH GSM0650-470-M,L_7.5x6.6mm,145.5,-104.95,90.0,top
Q1,NMOS,TO-252-2,155.475,-74.275,90.0,top
Q2,NMOS,TO-252-2,146.975,-74.275,90.0,top
Q3,NMOS,TO-252-2,137.975,-74.775,90.0,top
Q4,NMOS,TO-252-2,139.975,-78.775,90.0,bottom
Q5,NMOS,TO-252-2,157.475,-78.8,90.0,bottom
Q6,NMOS,TO-252-2,148.475,-78.775,90.0,bottom
R1,0.005R 1%,R_2512_6332Metric,148.0,-88.4625,90.0,bottom
R10,1K 1%,R_0603_1608Metric,130.06875,-90.0,180.0,bottom
R11,20K 1%,R_0603_1608Metric,126.39375,-94.9073,0.0,top
R12,20K 1%,R_0603_1608Metric,121.11125,-91.5323,-90.0,top
R13,100R,R_0603_1608Metric,121.825,-96.5,180.0,top
R14,100R,R_0603_1608Metric,124.825,-99.0,0.0,top
R15,20K 1%,R_0603_1608Metric,128.39375,-85.4073,0.0,top
R16,20K 1%,R_0603_1608Metric,121.11125,-88.1823,90.0,top
R17,470K,R_0603_1608Metric,160.5,-110.325,90.0,top
R18,0.1R,R_1206_3216Metric,150.5,-110.5,180.0,top
R19,20K,R_0603_1608Metric,150.725,-104.0,180.0,top
R2,0.005R 1%,R_2512_6332Metric,140.0,-88.4625,90.0,bottom
R20,2.2K,R_0603_1608Metric,153.5,-105.5,90.0,top
R21,10R,R_0603_1608Metric,141.825,-100.5,0.0,top
R22,10R,R_0603_1608Metric,142.5,-81.4,180.0,top
R23,10R,R_0603_1608Metric,145.6175,-81.7,0.0,top
R24,10R,R_0603_1608Metric,155.0,-81.0,0.0,top
R25,10R,R_0603_1608Metric,159.5,-84.0,90.0,top
R26,10R,R_0603_1608Metric,155.0,-82.5,0.0,top
R27,10R,R_0603_1608Metric,142.0,-83.725,90.0,top
R28,10K,R_0603_1608Metric,158.0,-81.0,0.0,top
R29,10K,R_0603_1608Metric,148.6175,-81.7,0.0,top
R3,1K 1%,R_0603_1608Metric,130.06875,-87.0,0.0,bottom
R30,10K,R_0603_1608Metric,138.675,-81.4,0.0,top
R31,10K,R_0603_1608Metric,161.16,-81.0,0.0,top
R32,10K,R_0603_1608Metric,148.675,-83.5,0.0,top
R33,10K,R_0603_1608Metric,138.675,-83.5,180.0,top
R35,2K,R_0603_1608Metric,123.175,-106.5,0.0,top
R36,2K,R_0402_1005Metric,118.99,-104.5,0.0,top
R37,2K,R_0402_1005Metric,120.01,-103.5,0.0,top
R38,2K,R_0402_1005Metric,120.51,-102.0,0.0,top
R4,0.005R 1%,R_2512_6332Metric,144.0,-88.4625,90.0,bottom
R40,47K,R_0805_2012Metric,162.5,-110.4125,90.0,top
R41,47K,R_0603_1608Metric,130.5,-68.0,0.0,top
R42,47K,R_0603_1608Metric,142.675,-67.5,0.0,top
R43,47K,R_0603_1608Metric,153.5,-67.5,0.0,top
R44,10K,R_0402_1005Metric,122.99,-105.0,180.0,top
R45,4.7K,R_0402_1005Metric,121.5,-108.5,0.0,top
R46,4.7K,R_0402_1005Metric,121.5,-109.5,0.0,top
R47,4.7K,R_0402_1005Metric,121.5,-110.5,0.0,top
R5,1K 1%,R_0603_1608Metric,130.06875,-88.5,0.0,bottom
R6,0.005R 1%,R_2512_6332Metric,136.0,-88.4625,90.0,bottom
R7,10K 1%,R_0603_1608Metric,123.28625,-94.8573,0.0,top
R8,1K 1%,R_0603_1608Metric,130.06875,-91.5,0.0,bottom
R9,10K 1%,R_0603_1608Metric,122.06875,-85.4073,0.0,top
TH1,10K NTC 4390K,R_0603_1608Metric,135.5,-73.675,90.0,bottom
U1,~,QFN-20-1EP_3x3mm_P0.4mm_EP1.5x1.5mm,126.55,-104.1,90.0,top
U2,XOPA2333,SOP-8_3.9x4.9mm_P1.27mm,125.06875,-90.4073,90.0,top
U3,TSSOP20,TSSOP-20_4.4x6.5mm_P0.65mm,154.575,-89.8625,90.0,top
U4,6209,SOT-23,136.0625,-99.47875,0.0,top
